epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4080.96,0.89054,0.45474,0.97354,0.98005,0.99292,0.99396,0.76217,0.88426,0.35041,0.97715,0.000958044,0.000958044,0.000958044
68,4142.5,0.89808,0.46601,0.97107,0.98338,0.98937,0.99241,0.77047,0.88083,0.36446,0.97961,0.000956782,0.000956782,0.000956782
69,4204.57,0.88649,0.46119,0.97699,0.9717,0.98869,0.99371,0.76588,0.87501,0.36138,0.97787,0.000955502,0.000955502,0.000955502
70,4266,0.89448,0.45577,0.97791,0.97726,0.99064,0.99186,0.76739,0.87972,0.35568,0.97518,0.000954205,0.000954205,0.000954205
71,4327.81,0.88655,0.45109,0.97079,0.9747,0.99249,0.99351,0.76608,0.89271,0.37495,0.97821,0.000952889,0.000952889,0.000952889
72,4388.78,0.87805,0.44831,0.96442,0.98564,0.9887,0.99396,0.77177,0.8634,0.34369,0.96815,0.000951556,0.000951556,0.000951556
73,4449.83,0.88436,0.44621,0.96651,0.97907,0.98654,0.99308,0.77406,0.88081,0.3563,0.97453,0.000950206,0.000950206,0.000950206
74,4511.4,0.88637,0.44961,0.97144,0.9813,0.99302,0.9945,0.76411,0.89048,0.35425,0.97994,0.000948837,0.000948837,0.000948837
75,4572.93,0.87453,0.44451,0.96974,0.97751,0.98897,0.99275,0.77152,0.88407,0.3488,0.97655,0.000947452,0.000947452,0.000947452
76,4634.74,0.87752,0.4471,0.97739,0.97602,0.99368,0.99488,0.77029,0.88691,0.35858,0.97984,0.000946048,0.000946048,0.000946048
77,4695.9,0.87203,0.4384,0.96915,0.97988,0.9903,0.99458,0.76839,0.88958,0.34898,0.97969,0.000944628,0.000944628,0.000944628
78,4757.18,0.86688,0.44086,0.96044,0.98099,0.98516,0.99411,0.77157,0.87322,0.35181,0.9718,0.000943189,0.000943189,0.000943189
79,4818.81,0.86455,0.4358,0.96096,0.97703,0.99543,0.99488,0.77434,0.87686,0.34508,0.97535,0.000941734,0.000941734,0.000941734
80,4881.25,0.86221,0.44441,0.96532,0.98341,0.98992,0.995,0.77187,0.88672,0.34697,0.98499,0.000940262,0.000940262,0.000940262
81,4942.92,0.87427,0.43679,0.96627,0.98014,0.98704,0.99377,0.76867,0.87151,0.35851,0.97825,0.000938772,0.000938772,0.000938772
82,5005.16,0.87064,0.44401,0.96898,0.98585,0.98611,0.99347,0.77297,0.87487,0.35074,0.97224,0.000937265,0.000937265,0.000937265
83,5068.41,0.86611,0.43608,0.9707,0.97441,0.982,0.9929,0.77411,0.8629,0.35497,0.96827,0.000935741,0.000935741,0.000935741
84,5130.34,0.86611,0.42704,0.9602,0.9793,0.97692,0.99442,0.7735,0.87259,0.36377,0.9751,0.0009342,0.0009342,0.0009342
85,5192.24,0.85498,0.43531,0.95889,0.97788,0.98451,0.99382,0.77202,0.88408,0.35802,0.98061,0.000932642,0.000932642,0.000932642
86,5254.4,0.85527,0.42916,0.95949,0.982,0.99246,0.9937,0.77678,0.86532,0.34307,0.97068,0.000931067,0.000931067,0.000931067
87,5316.64,0.86036,0.42873,0.96574,0.98479,0.98346,0.9938,0.77244,0.88764,0.34548,0.97734,0.000929476,0.000929476,0.000929476
88,5378.56,0.8574,0.42923,0.96647,0.98437,0.98552,0.99343,0.78225,0.85791,0.33651,0.96925,0.000927867,0.000927867,0.000927867
89,5441.29,0.86039,0.42608,0.96603,0.9852,0.98721,0.995,0.77328,0.87988,0.34822,0.98192,0.000926242,0.000926242,0.000926242
90,5504.32,0.85489,0.42077,0.96006,0.97941,0.98193,0.99313,0.77196,0.86937,0.34975,0.97266,0.000924601,0.000924601,0.000924601
91,5566.61,0.85491,0.42444,0.95774,0.97997,0.98055,0.99263,0.78271,0.8759,0.35429,0.97535,0.000922942,0.000922942,0.000922942
92,5630.14,0.85362,0.42113,0.96254,0.98303,0.9859,0.99483,0.78134,0.85594,0.33504,0.96822,0.000921268,0.000921268,0.000921268
